Kind,Name,AvgCyclomatic,MaxCyclomatic,SumCyclomatic,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/ElementMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GateLogMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GroupMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/GroupTypeMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/MenuMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/ResourceAuthorityMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/mapper/UserMapper.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/ElementController.java,1,2,4,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/GateLogController.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/GroupController.java,2,4,17,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/GroupTypeController.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/MenuController.java,2,3,16,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/Test.java,1,1,4,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rest/UserController.java,2,2,3,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rpc/LogRest.java,1,1,1,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rpc/UserRest.java,1,1,3,,,
